pin,slack
cmam_if_wrap_0/cmam_if/nif/data_rd_1_ns[30]:Y,41133
C2N_DATA_obuf[1]/U0/U_IOOUTFF:A,
C2N_DATA_obuf[1]/U0/U_IOOUTFF:Y,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/un1_crc_1_4:A,45458
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/un1_crc_1_4:B,45379
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/un1_crc_1_4:C,45316
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/un1_crc_1_4:D,45206
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/un1_crc_1_4:Y,45206
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:CLK,41453
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:D,44950
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:EN,41223
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:Q,41453
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:SD,
cmam_if_wrap_0/cmam_if/nif/nmc0/adcfifo/ADCFIFO_0/RDATA_r[5]:SLn,
Mario_Libero_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_200:A,
Mario_Libero_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_200:B,
Mario_Libero_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_200:C,
Mario_Libero_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_200:IPA,
Mario_Libero_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_200:IPB,
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_cry[1]:A,
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_cry[1]:B,46251
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_cry[1]:C,
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_cry[1]:CC,45946
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_cry[1]:D,
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_cry[1]:P,
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_cry[1]:S,45946
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_cry[1]:UB,
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk20_UI_ram_wrapper_1/U5_syncnonpipe/ACKFIFO_ACKFIFO_0_USRAM_top_R0C0/CFG_33:B,47309
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk20_UI_ram_wrapper_1/U5_syncnonpipe/ACKFIFO_ACKFIFO_0_USRAM_top_R0C0/CFG_33:C,47385
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk20_UI_ram_wrapper_1/U5_syncnonpipe/ACKFIFO_ACKFIFO_0_USRAM_top_R0C0/CFG_33:IPB,47309
cmam_if_wrap_0/cmam_if/nif/nmc1/ackfifo/ACKFIFO_0/genblk20_UI_ram_wrapper_1/U5_syncnonpipe/ACKFIFO_ACKFIFO_0_USRAM_top_R0C0/CFG_33:IPC,47385
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:CLK,40435
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:D,46401
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:EN,41658
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:Q,40435
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:SD,
cmam_if_wrap_0/cmam_if/nif/nmc3/tx_data[26]:SLn,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:CLK,44147
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:D,42815
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:EN,41501
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:Q,44147
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:SD,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/genblk5_afull_r:SLn,
cmam_if_wrap_0/cmam_if/nif/data_rd_1_ns[18]:A,42587
cmam_if_wrap_0/cmam_if/nif/data_rd_1_ns[18]:B,41077
cmam_if_wrap_0/cmam_if/nif/data_rd_1_ns[18]:C,41025
cmam_if_wrap_0/cmam_if/nif/data_rd_1_ns[18]:Y,41025
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/ds/word_4[14]:A,46321
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/ds/word_4[14]:B,45123
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/ds/word_4[14]:C,46342
cmam_if_wrap_0/cmam_if/nif/nmc3/nrx/ds/word_4[14]:Y,45123
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:CLK,47312
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:D,45123
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:EN,41920
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:Q,47312
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:SD,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[11]:SLn,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_s[9]:A,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_s[9]:B,46251
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_s[9]:C,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_s[9]:CC,45449
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_s[9]:D,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_s[9]:P,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_s[9]:S,45449
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk15_fifo_corefifo_sync_scntr/memwaddr_r_s[9]:UB,
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/CFG_25:B,47281
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/CFG_25:C,47461
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/CFG_25:IPB,47281
cmam_if_wrap_0/cmam_if/nif/nmc1/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/CFG_25:IPC,47461
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:CLK,41688
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:D,46409
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:EN,40408
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:Q,41688
